Brendan_Heywood  	 /moodle/lib/setuplib.php  	 bug  	 1845  	php:S1656
Mark_Nelson  	 /moodle/message/amd/src/message_drawer_router.js  	 bug  	 158  	php:S1764
sam_marshall  	 /moodle/lib/tests/behat/app_behat_runtime.js  	 bug  	 623  	javascript:S2259
Damyon_Wiese  	 /moodle/mod/assign/locallib.php  	 bug  	 9276  	javascript:S2873
Ryan_Wyllie  	 /moodle/message/amd/src/message_drawer_view_conversation.js  	 bug  	 346  	php:S836
Ryan_Wyllie  	 /moodle/message/amd/src/message_drawer_view_conversation.js  	 bug  	 1949  	javascript:S2259
Andrew_Nicols  	 /moodle/lib/accesslib.php  	 bug  	 6316  	javascript:S3403
Damyon_Wiese  	 /moodle/backup/util/ui/classes/privacy/provider.php  	 bug  	 323  	php:S1763
Mihail_Geshoski  	 /moodle/notes/tests/privacy_test.php  	 bug  	 407  	php:S836
Mihail_Geshoski  	 /moodle/notes/tests/privacy_test.php  	 bug  	 409  	php:S836
Mihail_Geshoski  	 /moodle/notes/tests/privacy_test.php  	 bug  	 425  	php:S836
Mihail_Geshoski  	 /moodle/notes/tests/privacy_test.php  	 bug  	 484  	php:S836
Mihail_Geshoski  	 /moodle/notes/tests/privacy_test.php  	 bug  	 486  	php:S836
Mihail_Geshoski  	 /moodle/notes/tests/privacy_test.php  	 bug  	 489  	php:S836
Andrew_Nicols  	 /moodle/admin/tool/dataprivacy/classes/expiry_info.php  	 bug  	 199  	php:S836
Andrew_Nicols  	 /moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php  	 bug  	 444  	php:S2201
Andrew_Nicols  	 /moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php  	 bug  	 484  	php:S1848
Andrew_Nicols  	 /moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php  	 bug  	 1358  	php:S1848
Andrew_Nicols  	 /moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php  	 bug  	 1517  	php:S1848
Andrew_Nicols  	 /moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php  	 bug  	 1569  	php:S1848
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js  	 bug  	 498  	php:S1848
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js  	 bug  	 3048  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js  	 bug  	 4171  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js  	 bug  	 4726  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js  	 bug  	 498  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js  	 bug  	 3048  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js  	 bug  	 4171  	javascript:S2583
